epoch,step,test_loss,test_psnr,train_loss,train_psnr,valid_loss,valid_psnr
6,534,,,373.315673828125,-49.73215866088867,,
6,539,,,433.7341613769531,-49.68694305419922,,
6,544,,,438.5652770996094,-49.69729232788086,,
6,549,,,376.22467041015625,-49.685848236083984,,
6,554,,,420.9469909667969,-49.6875114440918,,
6,559,,,453.4153747558594,-49.690818786621094,,
6,559,,,,,630.310302734375,-49.720542907714844
7,564,,,397.8997802734375,-49.726802825927734,,
7,569,,,514.51318359375,-49.74973678588867,,
7,574,,,485.01507568359375,-49.74869918823242,,
7,579,,,563.2456665039062,-49.71220397949219,,
7,584,,,365.274169921875,-49.71665573120117,,
7,589,,,407.81927490234375,-49.76534652709961,,
7,594,,,414.22271728515625,-49.738853454589844,,
7,599,,,395.839111328125,-49.74561309814453,,
7,604,,,488.1844482421875,-49.787567138671875,,
7,609,,,445.5257873535156,-49.742984771728516,,
7,614,,,480.474609375,-49.65970993041992,,
7,619,,,430.62774658203125,-49.6926383972168,,
7,624,,,512.5465087890625,-49.73820495605469,,
7,629,,,433.3560485839844,-49.72298812866211,,
7,634,,,391.65582275390625,-49.70176696777344,,
7,639,,,399.0823059082031,-49.73092269897461,,
7,639,,,,,607.3212890625,-49.719478607177734
8,644,,,496.92144775390625,-49.732234954833984,,
8,649,,,385.52886962890625,-49.702579498291016,,
8,654,,,398.7585144042969,-49.710205078125,,
8,659,,,441.9449157714844,-49.6912841796875,,
8,664,,,407.7008056640625,-49.77455139160156,,
8,669,,,426.86407470703125,-49.76517868041992,,
8,674,,,404.13946533203125,-49.724884033203125,,
8,679,,,366.50152587890625,-49.724884033203125,,
8,684,,,428.16729736328125,-49.728477478027344,,
8,689,,,437.13189697265625,-49.73517608642578,,
8,694,,,384.97845458984375,-49.72509765625,,
8,699,,,357.99493408203125,-49.75829315185547,,
8,704,,,385.6857604980469,-49.71150588989258,,
8,709,,,504.08111572265625,-49.739837646484375,,
8,714,,,515.956298828125,-49.71434020996094,,
8,719,,,488.5747985839844,-49.66159439086914,,
8,719,,,,,570.527099609375,-49.720497131347656
9,724,,,385.3033447265625,-49.7092399597168,,
9,729,,,389.20440673828125,-49.69413757324219,,
9,734,,,454.5699462890625,-49.72409439086914,,
9,739,,,438.0428466796875,-49.72368240356445,,
9,744,,,364.6617431640625,-49.69684982299805,,
9,749,,,397.8702697753906,-49.70008087158203,,
9,754,,,479.4178466796875,-49.73252868652344,,
9,759,,,397.0061950683594,-49.690101623535156,,
9,764,,,431.209716796875,-49.72386932373047,,
9,769,,,417.2529296875,-49.71892166137695,,
9,774,,,405.3254089355469,-49.71989822387695,,
9,779,,,445.09136962890625,-49.74305725097656,,
9,784,,,530.026611328125,-49.67438888549805,,
9,789,,,417.74554443359375,-49.680023193359375,,
9,794,,,484.9843444824219,-49.70185852050781,,
9,799,,,385.5116882324219,-49.69597244262695,,
9,799,,,,,884.8323974609375,-49.71983337402344
10,800,859.14697265625,-49.71092224121094,,,,
